Frame Rate:,23.9760239760
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
101,00:00:04.213,5.467442129629629,3.8408680555555557,2.753125,9.808333333333334
102,00:00:04.254,8.921469907407408,8.179427083333334,2.9790277777777776,15.605954861111112
103,00:00:04.296,6.221828703703704,4.743489583333333,3.1498958333333333,10.772100694444445
104,00:00:04.338,4.591718750000001,3.628420138888889,1.7061458333333333,8.440590277777778
105,00:00:04.379,3.928003472222222,2.7194618055555555,1.8826215277777778,7.181927083333333
106,00:00:04.421,4.301278935185185,2.890034722222222,2.149045138888889,7.864756944444444
107,00:00:04.463,2.640648148148148,1.5617708333333333,1.4421701388888888,4.918003472222222
108,00:00:04.504,3.0945717592592596,1.7088541666666666,1.7568576388888888,5.818003472222222
109,00:00:04.546,4.264733796296297,2.5977083333333333,2.6737326388888887,7.522760416666666
110,00:00:04.588,3.4634664351851847,1.9417708333333332,2.024670138888889,6.423958333333333
111,00:00:04.630,3.6920891203703703,2.1404513888888888,2.336701388888889,6.599114583333333
112,00:00:04.671,4.093090277777778,2.689982638888889,1.941579861111111,7.647708333333333
113,00:00:04.713,4.405023148148149,3.0186284722222223,2.503090277777778,7.693350694444445
114,00:00:04.755,3.6677893518518516,2.159010416666667,2.34015625,6.504201388888889
115,00:00:04.796,2.2425983796296296,1.3521354166666666,1.0868923611111112,4.288767361111111
116,00:00:04.838,2.916336805555556,1.7817534722222221,1.4384201388888889,5.528836805555556
117,00:00:04.880,2.6425752314814814,1.4678125,1.58421875,4.875694444444444
118,00:00:04.922,3.1757175925925925,2.0104166666666665,1.6753125,5.841423611111111
119,00:00:04.963,2.797667824074074,1.7435763888888889,1.3027256944444445,5.346701388888889
120,00:00:05.005,2.363894675925926,1.3061805555555555,1.2404861111111112,4.545017361111111
121,00:00:05.047,2.97458912037037,1.70046875,1.7121875,5.511111111111111
122,00:00:05.088,2.5354166666666664,1.5935590277777778,1.248576388888889,4.764114583333333
123,00:00:05.130,2.564207175925926,1.4361458333333332,1.47875,4.777725694444444
124,00:00:05.172,2.7685185185185186,1.6191319444444445,1.4422222222222223,5.2442013888888885
125,00:00:05.214,2.069195601851852,1.1471354166666667,1.0963888888888889,3.9640625
126,00:00:05.255,2.1508854166666667,1.1403645833333333,1.2138715277777778,4.098420138888889
127,00:00:05.297,1.7652604166666668,0.9208333333333333,1.0014409722222222,3.3735069444444443
128,00:00:05.339,4.089687499999999,2.822048611111111,1.7096875,7.737326388888889
129,00:00:05.380,1.7999942129629627,0.8970659722222222,1.0388715277777778,3.464045138888889
130,00:00:05.422,2.2832291666666666,1.2686111111111111,1.1635416666666667,4.417534722222222
131,00:00:05.464,1.837980324074074,0.90578125,0.9894270833333333,3.618732638888889
132,00:00:05.505,1.8765162037037035,1.0325,1.03109375,3.565954861111111
133,00:00:05.547,2.3258738425925927,1.3437673611111112,1.1422569444444444,4.4915972222222225
134,00:00:05.589,1.8855150462962964,0.9972916666666667,0.9802083333333333,3.6790451388888887
135,00:00:05.631,1.8955439814814816,0.9209375,1.1181076388888889,3.6475868055555556
136,00:00:05.672,2.469513888888889,1.4733159722222222,1.1869965277777779,4.7482291666666665
137,00:00:05.714,1.9585648148148147,1.0166840277777778,1.1244444444444444,3.734565972222222
138,00:00:05.756,1.9031655092592594,1.05140625,1.0108680555555556,3.647222222222222
139,00:00:05.797,2.511741898148148,1.5270659722222222,1.1456597222222222,4.8625
140,00:00:05.839,1.8888888888888886,0.9836979166666666,1.01609375,3.666875
141,00:00:05.881,2.059392361111111,1.2470138888888889,1.07734375,3.8538194444444445
142,00:00:05.923,2.7119965277777776,1.5185763888888888,1.5226215277777777,5.094791666666667
143,00:00:05.964,2.3181712962962964,1.4669270833333334,1.1292534722222223,4.358333333333333
144,00:00:06.006,2.5656018518518517,1.6032986111111112,1.2115625,4.881944444444445
145,00:00:06.048,2.401313657407407,1.1906770833333333,1.4211458333333333,4.592118055555556
146,00:00:06.089,2.6486747685185184,1.4036458333333333,1.4522222222222223,5.09015625
147,00:00:06.131,1.7688136574074074,0.9598958333333333,0.9830555555555556,3.363489583333333
148,00:00:06.173,1.8591203703703705,1.0703472222222221,0.9667881944444444,3.5402256944444446
149,00:00:06.215,2.6297164351851854,1.6075520833333334,1.2753645833333334,5.006232638888889
150,00:00:06.256,1.9639988425925925,1.0616319444444444,1.0269791666666668,3.8033854166666665
151,00:00:06.298,2.383634259259259,1.4152777777777779,1.1802430555555556,4.555381944444444
152,00:00:06.340,3.646001157407408,2.4383333333333335,1.7923958333333334,6.707274305555556
153,00:00:06.381,2.3796759259259264,1.6006597222222223,1.0518402777777778,4.486527777777778
154,00:00:06.423,3.1136111111111116,2.323732638888889,1.1238194444444445,5.89328125
155,00:00:06.465,2.7913425925925925,1.5856597222222222,1.601701388888889,5.1866666666666665
156,00:00:06.506,2.843680555555555,2.03,1.0319791666666667,5.4690625
157,00:00:06.548,2.4682349537037034,1.4430902777777779,1.3793229166666667,4.582291666666666
158,00:00:06.590,3.9385590277777776,2.5779513888888888,1.789236111111111,7.448489583333333
159,00:00:06.632,3.0088078703703705,1.8436631944444444,1.6477777777777778,5.534982638888889
160,00:00:06.673,4.164548611111111,3.1935416666666665,1.21625,8.083854166666667
161,00:00:06.715,3.3655324074074073,2.495329861111111,1.2624652777777778,6.338802083333333
162,00:00:06.757,3.3622858796296295,2.4074131944444446,1.2473611111111111,6.432083333333333
163,00:00:06.798,3.499548611111111,2.546423611111111,1.3177430555555556,6.634479166666667
164,00:00:06.840,3.984513888888889,2.884513888888889,1.432048611111111,7.636979166666666
165,00:00:06.882,3.739878472222222,2.61734375,1.6230034722222222,6.979288194444444
166,00:00:06.924,4.71261574074074,3.4003645833333334,1.5094965277777779,9.227986111111111
167,00:00:06.965,4.308107638888889,3.1400868055555557,1.4861284722222223,8.298107638888888
168,00:00:07.007,4.73640625,3.696736111111111,1.1147395833333333,9.397743055555555
169,00:00:07.049,4.593414351851852,3.6358680555555556,1.1575347222222223,8.986840277777778
170,00:00:07.090,6.158692129629629,4.995434027777778,1.3255902777777777,12.155052083333333
171,00:00:07.132,6.438998842592593,5.102361111111111,1.2968402777777779,12.91779513888889
172,00:00:07.174,7.046047453703704,6.18515625,0.9829340277777778,13.970052083333334
173,00:00:07.216,8.026394675925927,7.953385416666666,0.9858680555555556,15.139930555555555
174,00:00:07.257,9.615457175925927,10.348194444444445,1.0650868055555556,17.43309027777778
175,00:00:07.299,12.27833912037037,15.51078125,0.8792708333333333,20.44496527777778
176,00:00:07.341,14.074930555555554,19.80661458333333,0.7786631944444444,21.63951388888889
177,00:00:07.382,1.4881423611111113,1.6075868055555556,0.49078125,2.3660590277777778
178,00:00:07.424,0.4476099537037037,0.4518229166666667,0.28930555555555554,0.6017013888888889
179,00:00:07.466,0.21453703703703705,0.1375,0.30237847222222225,0.2037326388888889
180,00:00:07.507,0.04015625,0.0140625,0.0665625,0.03984375
181,00:00:07.549,0.0025289351851851853,0.0,0.007586805555555556,0.0
182,00:00:07.591,0.0,0.0,0.0,0.0
183,00:00:07.633,0.0,0.0,0.0,0.0
184,00:00:07.674,0.0,0.0,0.0,0.0
185,00:00:07.716,0.0,0.0,0.0,0.0
186,00:00:07.758,0.0,0.0,0.0,0.0
187,00:00:07.799,0.0,0.0,0.0,0.0
188,00:00:07.841,0.0,0.0,0.0,0.0
189,00:00:07.883,0.0,0.0,0.0,0.0
190,00:00:07.925,0.0,0.0,0.0,0.0
191,00:00:07.966,0.0,0.0,0.0,0.0
192,00:00:08.008,0.0,0.0,0.0,0.0
193,00:00:08.050,0.0,0.0,0.0,0.0
194,00:00:08.091,0.0,0.0,0.0,0.0
195,00:00:08.133,0.0,0.0,0.0,0.0
196,00:00:08.175,0.0,0.0,0.0,0.0
197,00:00:08.217,0.0,0.0,0.0,0.0
198,00:00:08.258,5.787037037037037e-06,0.0,1.736111111111111e-05,0.0
199,00:00:08.300,0.03844907407407407,0.002864583333333333,0.10805555555555556,0.004427083333333333
200,00:00:08.342,0.1129224537037037,0.0,0.3387673611111111,0.0
201,00:00:08.383,0.1796585648148148,0.011458333333333333,0.5214409722222222,0.006076388888888889
202,00:00:08.425,0.24020833333333336,0.015625,0.6713541666666667,0.03364583333333333
203,00:00:08.467,0.4938194444444444,0.3693576388888889,0.8169618055555555,0.2951388888888889
204,00:00:08.508,2.3504340277777778,3.8925694444444443,1.40234375,1.756388888888889
205,00:00:08.550,1.8093634259259261,2.8434548611111112,0.9874826388888889,1.5971527777777779
206,00:00:08.592,3.464346064814815,5.463420138888889,1.1935243055555556,3.73609375
207,00:00:08.634,43.604027777777766,61.018107638888885,2.5689409722222223,67.22503472222222
208,00:00:08.675,15.043119212962964,16.908559027777777,1.8563368055555556,26.364461805555557
209,00:00:08.717,4.150549768518519,4.795815972222222,1.4003819444444445,6.255451388888889
210,00:00:08.759,5.519930555555557,5.454739583333334,1.159861111111111,9.945190972222223
211,00:00:08.800,6.8359953703703695,6.085833333333333,1.6868402777777778,12.7353125
212,00:00:08.842,4.383101851851852,4.010694444444445,1.4230381944444443,7.715572916666667
213,00:00:08.884,4.184334490740741,2.059548611111111,1.7254340277777778,8.768020833333333
214,00:00:08.926,3.2194965277777783,1.85375,1.5744444444444445,6.230295138888889
215,00:00:08.967,3.4540104166666663,1.9477430555555555,1.4353125,6.978975694444444
